Música,#genre#
BBN_Peru,https://audio-edge-5bkfj.fra.h.radiomast.io/475ebed1-595e-4717-b888-64fe8fc6b09f
Radio_La_Zona_90.5,http://us-b4-p-e-ml19-audio.cdn.mdstrm.com/live-audio-aw/5fada54116646e098d97e6a5?aid=5faaeb72f92d7b07dfe10181&pid=cxMjkOQFJIxkNRHRPRwkWuRXr1Kz7VNa&sid=cFqZlwkgJhGL9LJJ9R4R9TVTsd92gtG9&uid=xplM1CMG243YbUedg9CuxCsT69DSPKSO&es=us-b4-p-e-ml19-audio.cdn.mdstrm.com&ote=1787995969175&ot=cOYKcjYOlhfJXPLZsE2GcQ&proto=http&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada54116646e098d97e6a5&listenerId=xplM1CMG243YbUedg9CuxCsT69DSPKSO
Radio_Onda_Popular,http://dattavolt.com:8278/stream/
Radio_ZonaVip,https://conectperu.com/8058/stream/
Radio_Alegria,http://radio.sistemasandinos.org:7352/stream/
Radio_Armonia,http://radio.sistemasandinos.org:7146/stream/
Radio_Tropical_Tarapoto,http://shoutcast.tmcreativos.com:8066/stream
Radio_Disney_Perú,http://27363.live.streamtheworld.com/DISNEY_PER_LM.mp3
Radio_Estrella_102.7_FM,http://radio.datahost.pe:9660/stream/
Radio_Yaraví_Arequipa,http://tupanel.info:7060/stream/
Sinai_Radio,http://stream20.usastreams.com:8194/stream
Millenium_Radio_Tocache,http://5.161.107.217:8058/stream
Radio_Melodia_AM,http://stream.radiomelodia.com.pe:8010/radio.mp3
Radio_Vida_Cusco,https://radio.transmite.pe/9318/stream/
Radio_JR_88.7_FM,http://tupanel.info:7040/stream/
Radio_Shilipoder,http://mediastreamm.com/shilipoder/
Radio_Sinaí_Alternativa,https://whmsonic.playerfullhd.com/8116/stream
Radio_Sol,http://st3.inkaniserver.net:8060/stream
Radio_Exito_Peru,http://67.212.179.138:7200/stream/
Millenium_Radio_Lamas,http://shoutcast.tmcreativos.com:8024/stream
Señal_Pirata_Radio,http://conectperu.com:8082/stream/
Radio_Peruanisima,http://stream10.usastreams.com:9348/stream
Red_Radio_Integridad_700,http://dattavolt.com:8164/stream/
Generación_KPop,http://stream9.mexiserver.com:8242/stream/
Radio_Corazón,http://us-b4-p-e-pb13-audio.cdn.mdstrm.com/live-audio-aw/5fada514fc16c006bd63370f?aid=5faaeb72f92d7b07dfe10181&pid=tGcGEVx0NSUWKLMSbXj35o9mtPvctjQB&sid=dguKVCywiMJwIlJjR6XMD7PXExzb3bT8&uid=MnbA1QSXrtYJDxRyzhhfGi1sjN3TJJTd&es=us-b4-p-e-pb13-audio.cdn.mdstrm.com&ote=1787995975115&ot=XAnhAr7K41Fjd6M1G2sZHQ&proto=http&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada514fc16c006bd63370f&listenerId=MnbA1QSXrtYJDxRyzhhfGi1sjN3TJJTd
Radio_Central_Galáctica,http://sonic.dattassd.com:4062/stream
InClub_Radio,http://conectperu.com:8018/stream/
Radio_Amor_por_Cable,http://conectperu.com:8224/stream/
Radio_Super_Vip,http://rautemusik.stream37.radiohost.de/charthits?upd-meta&upd-scheme=http&_art=dD0xNzg3OTA5ODc2JmQ9ZmE3YTFjMGU2ZTA2MWU0OWJmODc
